friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better
steady,2500.0,30.0,5,5,alpha_2d,0.3476953404577415,0.9187249745303605,1.2059283199171542,0.9898527911966818,0.07112781666632129,True,True
steady,2500.0,30.0,6,6,alpha_2d,0.38217385973966234,0.8757960869626094,1.2586508714063114,0.9780018685753494,0.10220578161274008,True,True
steady,2500.0,30.0,7,7,alpha_2d,0.39747969003033273,0.8892597275303048,1.2446422612478152,0.9869106419326813,0.0976509144023765,True,True
steady,2500.0,30.0,8,8,alpha_2d,0.40329759383825864,0.8740864833587236,1.2164189706919615,0.9850388713460749,0.1109523879873513,True,True
steady,2500.0,40.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,40.0,3,3,alpha_2d,0.3011107670796245,0.9308529733396957,1.371551092021638,0.9816402691917473,0.05078729585205155,True,True
steady,2500.0,40.0,4,4,alpha_2d,0.3212257982007537,0.9244781517381394,1.2944355375214787,0.9883220512382557,0.06384389950011626,True,True
steady,2500.0,40.0,5,5,alpha_2d,0.3302188741528603,0.9030774046034132,1.2275001863546426,0.9864868432560002,0.08340943865258699,True,True
steady,2500.0,40.0,6,6,alpha_2d,0.38066969261256717,0.8938740036458397,1.3305595444568856,0.9853500888451784,0.0914760851993387,True,True
steady,2500.0,40.0,7,7,alpha_2d,0.37841787407401023,0.8688956997577544,1.2632779173070765,0.9818128243326424,0.112917124574888,True,True
steady,2500.0,40.0,8,8,alpha_2d,0.37416094578768627,0.8504733145718059,1.2027707023580219,0.9794525623543052,0.12897924778249936,True,True
steady,2500.0,50.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,50.0,3,3,alpha_2d,0.2896986808887408,0.9256295627944787,1.3887983060102975,0.9784108420395037,0.05278127924502496,True,True
steady,2500.0,50.0,4,4,alpha_2d,0.3086258631694376,0.9187943858137005,1.3061916622237537,0.9863942466272108,0.06759986081351022,True,True
steady,2500.0,50.0,5,5,alpha_2d,0.32235574583583965,0.8944533313030407,1.257061937610186,0.9830432462571295,0.08858991495408874,True,True
steady,2500.0,50.0,6,6,alpha_2d,0.3832895917389866,0.917228279855717,1.392520594368631,0.9904629467646849,0.07323466690896796,True,True
steady,2500.0,50.0,7,7,alpha_2d,0.3563833655671094,0.8845098097029618,1.2394426489704526,0.9875879974920573,0.1030781877890955,True,True
steady,2500.0,50.0,8,8,alpha_2d,0.3551405622743072,0.8451388926491284,1.191624503717877,0.9782822135956408,0.13314332094651238,True,True
steady,2500.0,60.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,60.0,3,3,alpha_2d,0.2744926564104223,0.9250042602810694,1.372854587514203,0.9792083752026164,0.054204114921546975,True,True
steady,2500.0,60.0,4,4,alpha_2d,0.2905295908758937,0.9179047724216157,1.2787882626231368,0.986772119090377,0.06886734666876126,True,True
steady,2500.0,60.0,5,5,alpha_2d,0.30807179254044653,0.8893649348712375,1.2486426001869566,0.9817275200995071,0.09236258522826968,True,True
steady,2500.0,60.0,6,6,alpha_2d,0.3635805635282856,0.9225587419580674,1.373703118892774,0.9946689612741462,0.07211021931607875,True,True
