friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better,Cf,Kleak
steady,3000.0,20.0,5,5,alpha_2d,0.28691704488481223,0.8470188183191767,0.905253389378356,0.954516397740661,0.1074975794214843,True,True,5e-07,5e-05
steady,3000.0,20.0,5,5,alpha_2d,0.2464067338665965,0.8943373349802561,0.77277779706761,0.9794781726338938,0.08514083765363767,True,True,5e-07,0.0001
steady,3000.0,20.0,5,5,alpha_2d,0.252322180745711,0.7748577802513432,0.8012874166122025,0.9128600450855893,0.13800226483424605,True,True,5e-07,0.0005
steady,3000.0,20.0,5,5,alpha_2d,0.22216532213179147,0.75953183554764,0.7073397858848266,0.9091604275462896,0.14962859199864953,True,True,5e-07,0.001
steady,3000.0,20.0,5,5,alpha_2d,0.6795404201544846,0.9802477918068192,2.123990666609674,0.9999085095396487,0.019660717732829514,True,True,5e-07,0.005
steady,3000.0,20.0,5,5,alpha_2d,0.387484809433766,0.8437240721447204,1.22444224338585,0.9475215815837951,0.10379750943907462,True,True,1e-06,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.38214745113632137,0.8388503400694177,1.2082037081323602,0.9449459494452704,0.10609560937585272,True,True,1e-06,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.6973194607604959,0.9781940889519926,2.1823545957531865,0.9994233122749671,0.0212292233229745,True,True,1e-06,0.005
steady,3000.0,20.0,5,5,alpha_2d,0.4034366865410784,0.8717023441628571,1.2751957166470769,0.965664814871365,0.09396247070850794,True,True,5e-06,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.4022766293900702,0.8769411445195144,1.2706094757810502,0.9685436531225089,0.09160250860299446,True,True,5e-06,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.6275202472022282,0.9622568564859045,1.965757378607372,0.9966605999672982,0.034403743481393634,True,True,5e-06,0.005
steady,3000.0,20.0,5,5,alpha_2d,0.40496545338565587,0.9004824554861249,1.2743370484420984,0.979723313244334,0.0792408577582091,True,True,1e-05,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.4043460907698355,0.900586989993146,1.2724299883585881,0.9798529253739908,0.07926593538084481,True,True,1e-05,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.5630868595375274,0.9004076417616264,1.779441012769363,0.9705524283165293,0.07014478655490297,True,True,1e-05,0.005
steady,3000.0,20.0,5,5,alpha_2d,0.5292085465164763,0.9529663184973437,1.6504660964199565,0.9937060923126606,0.040739773815316904,True,True,5e-05,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.5318950260437306,0.9575516963600094,1.6573723018815614,0.994827053261928,0.03727535690191863,True,True,5e-05,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.3784100904730028,0.9050091198059703,1.192146951579246,0.9848122533915968,0.07980313358562652,True,True,5e-05,0.005
steady,3000.0,20.0,5,5,alpha_2d,0.4482822729792476,0.9461531876768331,1.4015751172186688,0.9950325592793773,0.048879371602544186,True,True,0.0001,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.4475419819153316,0.9459172354543188,1.3993102520108913,0.9949914317804776,0.049074196326158726,True,True,0.0001,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.3963823115055554,0.955584943231324,1.2343263320758906,0.9958665966114862,0.04028165338016221,True,True,0.0001,0.005
steady,3000.0,20.0,5,5,alpha_2d,0.42029268527769575,0.870098009059714,1.3300792201709917,0.9640875628608071,0.09398955380109308,True,True,0.0005,0.0
steady,3000.0,20.0,5,5,alpha_2d,0.4200799229973846,0.8702468737354487,1.3293863301774729,0.9641934213292103,0.09394654759376153,True,True,0.0005,1e-06
steady,3000.0,20.0,5,5,alpha_2d,0.41919756053307067,0.8709642612661209,1.3265014307111382,0.9646902064899316,0.09372594522381072,True,True,0.0005,5e-06
steady,3000.0,20.0,5,5,alpha_2d,0.41749468368704185,0.872442494539422,1.3208930260173366,0.9656810150057141,0.09323852046629211,True,True,0.0005,1e-05
steady,3000.0,20.0,5,5,alpha_2d,0.3972887194372266,0.8886078681323839,1.2540859344605124,0.975761996450713,0.08715412831832914,True,True,0.0005,5e-05
