friction_model,x1,n_total,spacing_m,L_span_m,P_1,P_end,R_end,sum_P
steady,3000.0,7,70.0,420.0,2.9418838216799648,0.2172322550611883,0.07384120795672267,7.767896484384592
steady,3000.0,7,80.0,480.0,3.220027021880702,0.5011896462185086,0.15564765227522276,10.00343173597768
steady,3000.0,7,90.0,540.0,3.0175111931362304,0.5232118706276899,0.1733918574412621,9.58047986027273
steady,3000.0,7,100.0,600.0,2.9364982580234056,0.4905789914617883,0.16706258555453843,9.312584921009167
steady,3000.0,8,10.0,70.0,3.070730574603771,0.1863921217362502,0.06069960135148006,8.297492593049414
steady,3000.0,8,20.0,140.0,3.4196532491553127,0.1837801443506183,0.05374233320176944,7.379947592484708
steady,3000.0,8,30.0,210.0,3.5546574487296536,0.1235222816076472,0.03474941914636275,7.402374714551503
steady,3000.0,8,40.0,280.0,3.355344194438175,0.1374770572401273,0.040972564742541025,7.001588487371958
steady,3000.0,8,50.0,350.0,2.811514698505992,0.1674003431227018,0.05954098095651305,6.474115303179603
steady,3000.0,8,60.0,420.0,2.9139635854332573,0.1730020267057714,0.0593700029645528,7.146975863942821
steady,3000.0,8,70.0,490.0,3.019114358320824,0.1869117834541857,0.06190947452488768,8.533094131508356
steady,3000.0,8,80.0,560.0,3.014694557015266,0.4252084334164581,0.14104527850988682,10.23126539296063
steady,3000.0,8,90.0,630.0,3.0019434368518176,0.4603922112333978,0.1533647188623307,10.068784318898485
steady,3000.0,8,100.0,700.0,3.0098355350674755,0.4431967650425221,0.1472494958209025,9.884723546985125
