friction_model,x1,spacing_m,n_total,a,b,beta,r2
brunone,4000.0,40.0,8,,0.025894891555620178,0.4087876964903313,0.9977485531979836
brunone,4000.0,50.0,3,,0.183472986154271,0.19921521035439657,1.0
brunone,4000.0,50.0,4,,0.0354698272687575,0.41845846592820374,0.9999459152105892
brunone,4000.0,50.0,5,,0.024659007043485785,0.41186087871539756,0.9998566923439451
brunone,4000.0,50.0,6,,0.021939932051835996,0.4294824541644227,0.9993285380933374
brunone,4000.0,50.0,7,,0.019648907966580215,0.47873285320859293,0.9980056910017554
brunone,4000.0,50.0,8,,0.022615368248878803,0.4134313120872093,0.9941434316446269
brunone,4000.0,60.0,3,,0.02452441497830682,0.6476591955283866,1.0
brunone,4000.0,60.0,4,,0.022266301424515588,0.5221175524775938,0.9999720783249813
brunone,4000.0,60.0,5,,0.022775070302544456,0.40455276724868544,0.9999267840008034
brunone,4000.0,60.0,6,,0.01732994278386337,0.49373253259642197,0.9982814397552782
brunone,4000.0,60.0,7,,0.01604927042079779,0.4967891356625075,0.9975310728742807
brunone,4000.0,60.0,8,,0.015487758274452312,0.4258480949229064,0.9969910568574958
brunone,4000.0,70.0,3,,0.027078524741258207,0.47637061159497,1.0
brunone,4000.0,70.0,4,,0.02272469192871631,0.4535359516328177,0.9997548118822522
brunone,4000.0,70.0,5,,0.020244306695799533,0.4227761233185487,0.9990714287353173
brunone,4000.0,70.0,6,,0.015368060856545821,0.5287412875783056,0.9986440817995833
brunone,4000.0,70.0,7,,0.01637406672642485,0.43169749058323387,0.999855631138197
brunone,4000.0,70.0,8,,0.01369023411214569,0.4249105693925909,0.9994561314160529
brunone,4000.0,80.0,3,,0.04631860496429645,0.2388298662204188,1.0
brunone,4000.0,80.0,4,,0.02211014577699431,0.4214057107783454,0.9995578788456275
brunone,4000.0,80.0,5,,0.01764482941909129,0.45686395185028233,0.9985259660856252
brunone,4000.0,80.0,6,,0.017681342758185076,0.4243157939805337,0.9995583084990505
brunone,4000.0,80.0,7,,0.013406008611165915,0.46567792802937213,0.9992658376777545
brunone,4000.0,80.0,8,,0.011968641412578555,0.45817689450171706,0.9979068044770174
brunone,4000.0,90.0,3,,0.05630442466294162,0.2482863173234133,1.0
brunone,4000.0,90.0,4,,0.026063563644025622,0.35137387474287307,0.9999548122916828
brunone,4000.0,90.0,5,,0.018704006793817306,0.4105822538924034,0.9995720290970243
brunone,4000.0,90.0,6,,0.0166558782069691,0.40223802477208515,0.9996978006711951
brunone,4000.0,90.0,7,,0.012609744393144452,0.44200157804937934,0.998611524263717
brunone,4000.0,90.0,8,,0.011113060436379451,0.4333749002301502,0.9958737400221485
brunone,4000.0,100.0,3,,0.08468676413280259,0.21925783069025567,1.0
brunone,4000.0,100.0,4,,0.020200052512181065,0.4025046770683784,0.9998697087662624
brunone,4000.0,100.0,5,,0.01796435972100118,0.3776870032724622,0.9996833170289074
brunone,4000.0,100.0,6,,0.013943552677151545,0.4193879033088057,0.9990097502491466
brunone,4000.0,100.0,7,,0.011865690729903096,0.4368205720424876,0.9990557196431598
