D_m,k,stft_E_0_20,rfft_E_0_20,stft_E_20_60,rfft_E_20_60,stft_E_60_150,rfft_E_60_150,stft_E_total,rfft_E_total,stft_E_0_20_dB_vs_k0,rfft_E_0_20_dB_vs_k0,stft_E_20_60_dB_vs_k0,rfft_E_20_60_dB_vs_k0,stft_E_60_150_dB_vs_k0,rfft_E_60_150_dB_vs_k0
10,0.1,15803974.497254014,85112722.95608485,2797679.0415840023,5603538.979853951,91661.27792521985,209491.20346129374,18693613.79886634,90926652.1424288,-6.94928077976158,-5.6797214339871385,-17.570971695970737,-18.926198989366718,-37.703579161671506,-38.23715474313582
10,0.2,2528008.5902758474,17029830.887732446,690289.3970103296,1531188.1709674378,18984.590917956557,40591.62790541987,3237284.110887717,18601645.10075821,-14.909158528054947,-12.667562929522706,-23.64863856415433,-24.560537309464717,-44.54142580622883,-45.36444797153767
20,0.0,59935235.526625454,229145897.3349585,218241095.5210559,591224855.099608,503246753.1220896,1309403925.0563912,1402269587.1022062,3800761330.9647055,0.0,0.0,0.0,0.0,0.0,0.0
20,0.01,41902000.84970707,177608577.5708778,74038913.71900171,193656362.86066678,10119512.489279166,24895070.28834126,126198930.14798297,396549666.73156995,-1.5544745498313006,-1.1064814985751072,-4.694764947779374,-4.847209125838995,-16.96621390828816,-17.209602816315495
20,0.02,32492891.748925768,150454389.84080616,22338141.35943848,55404928.86348133,1207356.2427200275,2890811.844064864,56057740.787008025,208806786.92374784,-2.658938526175634,-1.8270722220555147,-9.89889498144404,-10.282042819098944,-26.199455495591355,-26.56053813009306
20,0.05,13674193.407032123,94570690.6917735,2338801.0166659416,5469043.0633774055,44905.59746464471,114713.79262851771,16058853.544005558,100157238.3161974,-6.417804980638799,-3.843555250786457,-19.699432590910803,-20.33841340482138,-40.494805025524116,-40.57457999927789
20,0.1,7064309.854725318,61092127.06867898,447623.7450333869,951722.0923674335,26607.62112588419,69923.11826988915,7538673.215194375,62114196.61871568,-9.286124762985802,-5.741268395745948,-26.880234166169284,-27.93242532789825,-42.767749336957394,-42.72452850703381
20,0.2,3106753.8386899643,19980422.90470953,628781.3395993054,1337228.51118119,19446.89556689589,42731.89166869808,3754987.4344341657,21360432.166043837,-12.853753726877152,-10.59507409727865,-25.40436888416192,-26.455470558607015,-44.12930699590759,-44.86321519698593
50,0.0,88385184.3088446,270117832.9085953,223941826.72277504,627001037.7771792,480622247.5257983,1212480944.714452,1417055824.4177861,3797822931.690609,0.0,0.0,0.0,0.0,0.0,0.0
50,0.01,63358150.962072216,200506916.32601082,73968123.0260484,189972791.27847534,9048846.279504063,18888273.49130367,146439557.59372857,409546559.60551745,-1.4457697752923802,-1.2942389896431301,-4.810906180573921,-5.185768557710844,-17.252106594489778,-18.074826595293775
50,0.02,42096549.98543501,140436960.64685228,28213459.48704201,68238704.3595852,2569197.7221404654,4966283.503850745,72921691.83074409,213757392.6224267,-3.221329671146851,-2.840718349773559,-8.996788746030443,-9.632374873128631,-22.720063416975247,-23.87643414041376
50,0.05,8440772.619604757,43396797.028502695,3110008.8445423413,7709076.311154218,401959.0133214092,860346.166850773,11960819.71012352,51987935.059447214,-10.199972706337547,-7.940955799386936,-18.57373592366866,-19.10265914933779,-30.7762209848999,-31.490016938702624
50,0.1,2018347.4659754215,22598300.57277529,262723.78243881225,482264.11892663356,2725.393946646959,7355.804721035876,2283806.190905725,23088016.35228427,-16.413835381517114,-10.77477476063061,-29.306358284544093,-31.139833085978964,-52.46374583017114,-52.170447307364014
50,0.2,519766.6842817298,11432145.17077137,63254.379949843686,102828.31622530478,1680.3235642839463,3484.1660341921315,584701.7632956823,11538512.235564798,-22.305710330000615,-13.734255261262456,-35.490446135579354,-37.85155535196098,-54.56410952164138,-55.415760793130474
100,0.0,90484291.56668265,271251103.1414197,225597012.35963136,633852109.8102744,489457674.2885165,1243799032.7334216,1444915950.5338953,3892714073.799405,0.0,0.0,0.0,0.0,0.0,0.0
