x1,spacing_m,n_total,A_fit,gamma_local,R2_local,P_1
2000.0,80.0,5,1.5579907301258031,0.6473637606100472,0.984926392505932,1.5819437479908165
2000.0,80.0,6,2.0882827236222017,0.7785209802624373,0.980157603785824,2.1250299344619843
2000.0,80.0,7,2.027727098766888,0.5953443114675855,0.9883564779030966,2.0639265135512592
2000.0,80.0,8,1.81984211330248,0.518730248189953,0.964645681764429,1.9069150800284087
2000.0,90.0,2,2.199812297185495,0.5155709776625587,1.0,2.199812297185495
2000.0,90.0,3,1.931015506488259,0.6374730791134546,0.9777092898893631,1.958728298726607
2000.0,90.0,4,1.7945880828835736,0.35195605689527437,0.9687526640875891,1.85035427260245
2000.0,90.0,5,1.7969614945632495,0.34791935524100887,0.9547432871059934,1.890106744077669
2000.0,90.0,6,2.1351208724663766,0.3988199555984863,0.9494331820625975,2.271399391383645
2000.0,90.0,7,2.0876211720847277,0.31930436816047036,0.9546922591577736,2.244493995258772
2000.0,90.0,8,2.0937677675690316,0.2540867964768095,0.9465413383820518,2.2980599339578025
2000.0,100.0,2,2.184525990292413,0.5150984383226623,1.0,2.184525990292413
2000.0,100.0,3,1.9446365168238375,0.6375024655671255,0.978856601664752,1.971819831846288
2000.0,100.0,4,1.8036306427495146,0.35779067536797704,0.9726851571865992,1.8561996917455463
2000.0,100.0,5,1.8508755498910718,0.3511213779961788,0.9571778076516482,1.944313987805138
2000.0,100.0,6,2.144891001079297,0.37003511593407573,0.9410171145991497,2.296126503807219
2000.0,100.0,7,2.096718306698753,0.2929278680566432,0.9351527790234496,2.2853389697542887
2000.0,100.0,8,2.060980550243614,0.2374640818689494,0.9178361436783425,2.309570617534773
2500.0,10.0,2,1.074902898982332,0.8560399227493819,1.0,1.074902898982332
2500.0,10.0,3,1.5860382877878823,0.617332807827423,0.9821238886697468,1.6066834463182844
2500.0,10.0,4,1.8995494778184117,0.46509632460206235,0.9717413986172659,1.954698453109757
2500.0,10.0,5,2.2660553827886205,0.379961459101021,0.9559830168896186,2.3780138679772564
2500.0,10.0,6,2.83594525031625,0.3652925691177273,0.9608199938570946,3.0017446129398437
2500.0,10.0,7,2.8760849176999654,0.37962788368618083,0.9298205112210859,3.130447468556893
2500.0,10.0,8,2.604146188009774,0.3111463477252127,0.948547736263526,2.83425398707178
2500.0,20.0,2,1.050859583264585,0.877620238659079,1.0,1.050859583264585
2500.0,20.0,3,1.6669811664571537,0.5617544385298805,0.9807077248001429,1.6901447448354243
2500.0,20.0,4,1.8362848768275948,0.5111453143395496,0.9834621417496368,1.876289574044654
2500.0,20.0,5,2.1454275922970125,0.45332006312433654,0.986094151973808,2.2045928307039007
2500.0,20.0,6,2.857055735306783,0.4338189748317736,0.9952178993394769,2.902292494822057
2500.0,20.0,7,3.095308374770698,0.4932984614024785,0.9820947451520841,3.217715970249409
2500.0,20.0,8,2.7291480772666983,0.42317321867727403,0.9945848067658454,2.797380094538833
2500.0,30.0,2,1.0392346714528864,0.8605234954139853,1.0,1.0392346714528864
2500.0,30.0,3,1.4964593361880747,0.7843704947345923,0.9997780638420299,1.49451176561451
2500.0,30.0,4,1.7297613715340947,0.7208553086668174,0.9928411275367561,1.740404409693751
2500.0,30.0,5,1.9968274186459067,0.6266091806894659,0.9823104522009543,2.029137190375153
2500.0,30.0,6,2.622959472845561,0.5945763513086618,0.9882665289936537,2.657848395706606
2500.0,30.0,7,2.6879275885369496,0.5825668039112207,0.9793677617234738,2.7545129991019235
2500.0,30.0,8,2.638578695204821,0.5418075415218825,0.9770715237464601,2.7182269944857462
2500.0,40.0,2,1.039898981282901,0.8636561108792751,1.0,1.039898981282901
2500.0,40.0,3,1.482471561873306,0.7908142554145197,0.9996653589416624,1.4801148413224807
2500.0,40.0,4,1.7248890870648983,0.7098531151537004,0.9929632992620864,1.7356357841089924
2500.0,40.0,5,2.023869859865735,0.6264160072646903,0.9873325473900955,2.049992664399401
2500.0,40.0,6,2.7939618181889285,0.6607731757993176,0.9863049365438241,2.831409462292409
2500.0,40.0,7,2.7064096143455965,0.5824969648367953,0.9856652515428551,2.757250963226497
2500.0,40.0,8,2.671014763167819,0.5156505588885815,0.9822914407461698,2.74768947863916
2500.0,50.0,2,1.039359708408577,0.8460325909307133,1.0,1.039359708408577
2500.0,50.0,3,1.4765129006458086,0.7949781626420427,0.9992082816826646,1.4729083596069843
2500.0,50.0,4,1.7300798970854228,0.7115660351531892,0.9941832566700974,1.7386981460648736
2500.0,50.0,5,2.0866010298619315,0.6384691927083749,0.9891768920729689,2.1072683780230173
2500.0,50.0,6,3.0005064939267663,0.7418154522656629,0.9816855304281727,3.0397044613816955
2500.0,50.0,7,2.599297619207778,0.5879510431407271,0.9784022987563613,2.66093440306176
2500.0,50.0,8,2.668257277356572,0.5132309122718463,0.981008175556414,2.740647424339413
2500.0,60.0,2,1.0700214697238568,0.8047766321380224,1.0,1.0700214697238568
