x1,spacing_m,n_total,min_Psi_local,min_Psi_xfer,median_Psi_local,min_I,min_E_local,min_E_xfer,min_Gamma,P_n,gamma_local,gamma_cal,R2_local,abs_mismatch,rel_mismatch
2000.0,50.0,8,2.88513533884885,2.88513533884885,5.943421539625724,1.0,0.8215225923285634,1.0,2.88513533884885,0.1442567669424425,0.5583598369065533,0.6953855273318986,0.9720138907725967,0.0,0.0
2000.0,60.0,1,111.02775964439908,111.02775964439908,111.02775964439908,1.0,1.0,1.0,111.02775964439908,5.551387982219954,,,,0.0,0.0
2000.0,60.0,2,26.436274926452587,26.436274926452587,35.51446088569095,1.0,1.0,1.0,26.436274926452587,1.3218137463226294,0.5228318592323649,0.6656134607617791,1.0,0.0,0.0
2000.0,60.0,3,5.164883912075425,3.9218902156289923,13.763474881670856,1.0,0.9289427197449182,0.7053810744767377,5.5599595134279856,0.2779979756713993,0.8046912397389098,0.6656134607617791,0.9989090605813153,1.2429936964464323,0.24066246552808881
2000.0,60.0,4,3.3910517047866837,2.695529917478524,9.828251914589483,1.0,0.892385010982947,0.6904870207953759,3.3910517047866837,0.1695525852393342,0.7946702643107023,0.6656134607617791,0.9982962727324464,0.6955217873081598,0.2051050375688424
2000.0,60.0,5,3.464672915510824,3.464672915510824,7.213584007334169,1.0,0.9278996376892689,0.9187545281501904,3.464672915510824,0.1732336457755412,0.6670367624284803,0.6656134607617791,0.9957275611874966,0.0,0.0
2000.0,60.0,6,2.754242740975892,2.754242740975892,5.562461452092132,1.0,0.9134188057491384,0.6636016319257829,2.754242740975892,0.1377121370487946,0.8335872035694153,0.6656134607617791,0.986254740159623,0.0,0.0
2000.0,60.0,7,2.476344999895614,2.476344999895614,5.029760412195229,1.0,0.8834674371893705,0.8924529595391774,2.476344999895614,0.1238172499947807,0.6559484634017622,0.6656134607617791,0.9913556132184669,0.0,0.0
2000.0,60.0,8,2.1954162922854437,2.1954162922854437,4.86379038819746,1.0,0.929711575180995,1.0,2.1954162922854437,0.1097708146142722,0.5895305754428333,0.6656134607617791,0.9892308932512756,0.0,0.0
2000.0,70.0,1,111.02775964439908,111.02775964439908,111.02775964439908,1.0,1.0,1.0,111.02775964439908,5.551387982219954,,,,0.0,0.0
2000.0,70.0,2,26.458974173663137,25.7990755011195,35.34881948071902,1.0,1.0,0.9750595518854056,26.458974173663137,1.3229487086831568,0.5140037866621553,0.4887470556694542,1.0,0.6598986725436369,0.02494044811459433
2000.0,70.0,3,4.637855905343384,2.4302541045796464,14.86996120276182,1.0,0.861689186368564,0.45152840553571505,5.3822839821035755,0.2691141991051788,0.8145419606804749,0.4887470556694542,0.996164905763048,2.207601800763738,0.4759962029480707
2000.0,70.0,4,5.69021011753275,3.89044070509242,10.532442698360978,1.0,0.8546823224400601,0.5773345597960761,5.69021011753275,0.2845105058766375,0.682514633048375,0.4887470556694542,0.9896316306766891,1.7997694124403303,0.31629225903185143
2000.0,70.0,5,4.099726981980927,3.752639338565035,6.196525889590788,1.0,0.8555213695428765,0.6084488329897286,4.099726981980927,0.2049863490990464,0.6519878768682281,0.4887470556694542,0.9855071567517597,0.34708764341589227,0.08466116035077649
2000.0,70.0,6,3.631410542274314,3.526158078593762,6.068068418488385,1.0,0.7960669123694809,0.4818800101009794,3.631410542274314,0.1815705271137157,0.7312297211467764,0.4887470556694542,0.9768295577338965,0.1052524636805523,0.028983906516566366
2000.0,70.0,7,3.0703410416997636,3.0703410416997636,7.289723535235862,1.0,0.8351886458359451,0.6732865955524517,3.0703410416997636,0.1535170520849882,0.5840647960430332,0.4887470556694542,0.981043139822972,0.0,0.0
2000.0,70.0,8,2.833784020866084,2.833784020866084,7.419876215702978,1.0,0.8189411755710594,0.7355955972977744,2.833784020866084,0.1416892010433042,0.5199239062167265,0.4887470556694542,0.9665219294025232,0.0,0.0
2000.0,80.0,1,111.02775964439908,111.02775964439908,111.02775964439908,1.0,1.0,1.0,111.02775964439908,5.551387982219954,,,,0.0,0.0
