friction_model,Cf,Kleak,x1,spacing_m,n_total,frac_idx,x_f,delta_x,P_1d,P_2d,alpha_1d,alpha_2d
brunone,5e-06,0.001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.017994768091182934,0.010531692154834066,0.14737700412075455,0.72717873115529
brunone,5e-06,0.001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.006471181337044829,0.005226873521438726,0.052998922450303805,0.36089843866964805
brunone,1e-05,0.0,3000.0,20.0,3,1,3000.290023201856,0.0,0.09543899160379828,0.014359241775976228,1.0,1.0
brunone,1e-05,0.0,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.015613730400719188,0.0066646944526343515,0.16359907138936905,0.46413971967410833
brunone,1e-05,0.0,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.006703086682175755,0.0038074304536221287,0.07023425718916529,0.26515539699262963
brunone,1e-05,1e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.09587814979067616,0.015002762366905977,1.0,1.0
brunone,1e-05,1e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.0157740076872753,0.00666124200938052,0.1645214026523619,0.444001034374463
brunone,1e-05,1e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.006753108659761708,0.0038119641170296713,0.07043428220616775,0.2540841495589064
brunone,1e-05,5e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.09602252373860988,0.017540624616729734,1.0,1.0
brunone,1e-05,5e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.016044908439938957,0.006835646181329165,0.16709525864594027,0.3897036924676859
brunone,1e-05,5e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.006706894150148403,0.0037456514772416277,0.06984709304668708,0.21354151058390103
brunone,1e-05,0.0001,3000.0,20.0,3,1,3000.290023201856,0.0,0.09914182295276946,0.01567320176952568,1.0,1.0
brunone,1e-05,0.0001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.01626073256466672,0.006863262217186626,0.16401486355978373,0.43789790485127716
brunone,1e-05,0.0001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.006584845824184413,0.003945097075999248,0.06641844610141365,0.251709710243757
brunone,1e-05,0.0005,3000.0,20.0,3,1,3000.290023201856,0.0,0.10505688501924207,0.011783597466254573,1.0,1.0
brunone,1e-05,0.0005,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.00961665619446087,0.007973005765517738,0.09153761024514954,0.6766189857002952
brunone,1e-05,0.0005,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.005358743772043455,0.005892952896503102,0.05100802076000974,0.50009794660579
brunone,1e-05,0.001,3000.0,20.0,3,1,3000.290023201856,0.0,0.12553800907208515,0.015262494673086496,1.0,1.0
brunone,1e-05,0.001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.010594775887516023,0.009752684225806479,0.08439496504546602,0.6389967324938117
brunone,1e-05,0.001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.005946753223535672,0.007579167989183294,0.04737014126232469,0.4965877565577933
brunone,5e-05,0.0,3000.0,20.0,3,1,3000.290023201856,0.0,0.11995546511670756,0.015718962169481484,1.0,1.0
brunone,5e-05,0.0,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.019863119431806027,0.008073226848258962,0.16558744874592182,0.5135979564817078
brunone,5e-05,0.0,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.004931649314693572,0.0051113155109012934,0.041112335397936656,0.3251687646926819
brunone,5e-05,1e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.11723623905320482,0.015470557476721462,1.0,1.0
brunone,5e-05,1e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.020572407814652,0.00790421218542038,0.1754782307995714,0.5109196741819965
brunone,5e-05,1e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.0047263730997698615,0.005140005123615321,0.040314949864818775,0.3322443377589646
brunone,5e-05,5e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.10447661737510264,0.014659816428234886,1.0,1.0
brunone,5e-05,5e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.023179282652297725,0.007244315912773097,0.22186096022880503,0.49416143430148995
brunone,5e-05,5e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.0043029201538888505,0.00547770974906609,0.04118548496301394,0.37365472998120164
brunone,5e-05,0.0001,3000.0,20.0,3,1,3000.290023201856,0.0,0.08718810111207248,0.013468238850661873,1.0,1.0
brunone,5e-05,0.0001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.0248029010864526,0.006753264485121054,0.28447575724318963,0.5014214969011466
brunone,5e-05,0.0001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.004924837074138701,0.005718275067347181,0.05648519707761802,0.42457481863459573
brunone,5e-05,0.0005,3000.0,20.0,3,1,3000.290023201856,0.0,0.10986224531732774,0.01304591888077843,1.0,1.0
brunone,5e-05,0.0005,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.01389178269400123,0.008454480375699867,0.1264472854516672,0.6480555684089462
brunone,5e-05,0.0005,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.003558633215661949,0.006966670650026311,0.03239177576776389,0.534011495372001
brunone,5e-05,0.001,3000.0,20.0,3,1,3000.290023201856,0.0,0.12822328457144908,0.01574228395413319,1.0,1.0
brunone,5e-05,0.001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.011110044974256501,0.012803590391401764,0.08664608001104292,0.8133248281320792
brunone,5e-05,0.001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.005227047790351024,0.007488558582302312,0.040765199611139176,0.4756970846238716
brunone,0.0001,0.0,3000.0,20.0,3,1,3000.290023201856,0.0,0.10646682737744298,0.013495049016780914,1.0,1.0
brunone,0.0001,0.0,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.018285839703804277,0.008155519731082698,0.17175152255620307,0.6043342058959117
brunone,0.0001,0.0,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.006041422090680234,0.005827621703668974,0.0567446428103128,0.43183405235671274
brunone,0.0001,1e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.1051401420389028,0.01331402061697116,1.0,1.0
brunone,0.0001,1e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.019105404435733286,0.007997239349143304,0.18171370197183215,0.6006629837232907
brunone,0.0001,1e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.005752256906838167,0.005781788404733814,0.054710377932624246,0.43426314041934594
brunone,0.0001,5e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.09706945636615219,0.012848772819611566,1.0,1.0
brunone,0.0001,5e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.022340852522087812,0.007615373084128849,0.23015326713911624,0.5926926400710594
