friction_model,x1,spacing_m,n_total,frac_idx,x_f,P_2d,P_2d_profile,valley,sigma_ref,Gamma_k,A_fit,gamma_local,R2_local,gamma_cal,P_env_local,P_env_xfer,E_k_local,E_k_xfer,I_k,Psi_k_local,Psi_k_xfer
steady,2000.0,10.0,6,3,2020.011600928074,0.8342236095523249,0.8342236095523249,0.0,0.05,16.684472191046495,2.0751854633520486,0.400752658425917,0.9417926776975076,0.4970477954716243,0.9310383714627113,0.8193995409555861,0.8960142085677036,1.0,1.0,14.949524145630386,16.684472191046495
steady,2000.0,10.0,6,4,2030.1624129930392,0.6500465735840191,0.6500465735840191,0.0,0.05,13.000931471680381,2.0751854633520486,0.400752658425917,0.9417926776975076,0.4970477954716243,0.6236241313785348,0.49846033095788256,1.0,1.0,1.0,13.000931471680381,13.000931471680381
steady,2000.0,10.0,6,5,2040.3132250580045,0.5347860169790526,0.5347860169790526,0.0,0.05,10.695720339581051,2.0751854633520486,0.400752658425917,0.9417926776975076,0.4970477954716243,0.41771324271698707,0.30322533650541694,1.0,1.0,1.0,10.695720339581051,10.695720339581051
steady,2000.0,10.0,6,6,2050.46403712297,0.4576359513685811,0.4576359513685811,0.0,0.05,9.15271902737162,2.0751854633520486,0.400752658425917,0.9417926776975076,0.4970477954716243,0.27979089384408373,0.18445922170402831,1.0,1.0,1.0,9.15271902737162,9.15271902737162
steady,2000.0,10.0,7,1,1999.709976798144,2.1174476032432503,2.1174476032432503,0.0,0.05,42.348952064865,1.9575589740302541,0.3693010190639219,0.9270155654886746,0.4970477954716243,1.9575589740302541,2.1174476032432503,1.0,1.0,1.0,42.348952064865,42.348952064865
steady,2000.0,10.0,7,2,2009.8607888631088,1.1560698701056462,1.1560698701056462,0.0,0.05,23.121397402112922,1.9575589740302541,0.3693010190639219,0.9270155654886746,0.4970477954716243,1.353098647301387,1.2880940009652935,0.8543869823617857,0.897504273165849,1.0,19.75462095437889,20.75155296996211
steady,2000.0,10.0,7,3,2020.011600928074,0.7781773897997447,0.7781773897997447,0.0,0.05,15.563547795994893,1.9575589740302541,0.3693010190639219,0.9270155654886746,0.4970477954716243,0.9352852065342412,0.7835783765234317,0.8320214885931217,0.9931072795198229,1.0,12.94920620501387,15.456272611357225
steady,2000.0,10.0,7,4,2030.1624129930392,0.6092150782226444,0.6092150782226444,0.0,0.05,12.184301564452888,1.9575589740302541,0.3693010190639219,0.9270155654886746,0.4970477954716243,0.6464853241161772,0.4766694602218246,0.9423494323796358,1.0,1.0,11.481869663204487,12.184301564452888
steady,2000.0,10.0,7,5,2040.3132250580045,0.5226758232499857,0.5226758232499857,0.0,0.05,10.453516464999714,1.9575589740302541,0.3693010190639219,0.9270155654886746,0.4970477954716243,0.44686184639476345,0.28996942886079136,1.0,1.0,1.0,10.453516464999714,10.453516464999714
steady,2000.0,10.0,7,6,2050.46403712297,0.4621961808606117,0.46219618086061176,0.0,0.05,9.243923617212234,1.9575589740302541,0.3693010190639219,0.9270155654886746,0.4970477954716243,0.308878643202506,0.1763953361617183,1.0,1.0,1.0,9.243923617212234,9.243923617212234
steady,2000.0,10.0,7,7,2060.614849187935,0.4168179016028281,0.41681790160282817,0.0,0.05,8.336358032056562,1.9575589740302541,0.3693010190639219,0.9270155654886746,0.4970477954716243,0.21350226472979777,0.10730550024479804,1.0,1.0,1.0,8.336358032056562,8.336358032056562
steady,2000.0,10.0,8,1,1999.709976798144,1.8636942966668948,1.8636942966668948,0.0,0.05,37.273885933337894,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,1.6867501536268343,1.8636942966668948,1.0,1.0,1.0,37.273885933337894,37.273885933337894
steady,2000.0,10.0,8,2,2009.8607888631088,1.109896578351318,1.109896578351318,0.0,0.05,22.19793156702636,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,1.2817687629946841,1.1337297978438237,0.8659101472859977,0.9789780426184151,1.0,19.221414192648293,21.731287595664995
steady,2000.0,10.0,8,3,2020.011600928074,0.8391075362502186,0.8391075362502186,0.0,0.05,16.78215072500437,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,0.9740216464520887,0.6896749412270867,0.8614875647853414,1.0,1.0,14.457614159944567,16.78215072500437
steady,2000.0,10.0,8,4,2030.1624129930392,0.666349270456722,0.666349270456722,0.0,0.05,13.326985409134439,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,0.7401632768305901,0.41954575548883,0.9002733468621372,1.0,1.0,11.99792975786433,13.326985409134439
steady,2000.0,10.0,8,5,2040.3132250580045,0.5681067393710048,0.5681067393710048,0.0,0.05,11.362134787420095,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,0.562453286704799,0.255219713558849,1.0,1.0,1.0,11.362134787420095,11.362134787420095
steady,2000.0,10.0,8,6,2050.46403712297,0.4977624611350597,0.49776246113505973,0.0,0.05,9.955249222701193,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,0.4274106938669944,0.15525625354776154,1.0,1.0,1.0,9.955249222701193,9.955249222701193
steady,2000.0,10.0,8,7,2060.614849187935,0.4432295429987178,0.44322954299871786,0.0,0.05,8.864590859974356,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,0.32479124142400867,0.09444609089778933,1.0,1.0,1.0,8.864590859974356,8.864590859974356
steady,2000.0,10.0,8,8,2069.3155452436195,0.3933474977766533,0.39334749777665334,0.0,0.05,7.866949955533065,1.6867501536268343,0.27456272145354804,0.9258094333577017,0.4970477954716243,0.2468102740980456,0.05745381510915696,1.0,1.0,1.0,7.866949955533065,7.866949955533065
steady,2000.0,20.0,1,1,1999.709976798144,5.551387982219954,,,0.05,111.02775964439908,,,,0.6827223356407702,,,1.0,1.0,1.0,111.02775964439908,111.02775964439908
steady,2000.0,20.0,2,1,1999.709976798144,2.2787264300579264,2.2787264300579264,0.0,0.05,45.574528601158526,2.2787264300579264,0.5738698897866802,1.0,0.6827223356407702,2.2787264300579264,2.2787264300579264,1.0,1.0,1.0,45.574528601158526,45.574528601158526
steady,2000.0,20.0,2,2,2020.011600928074,1.283700360331075,1.283700360331075,0.0,0.05,25.6740072066215,2.2787264300579264,0.5738698897866802,1.0,0.6827223356407702,1.2837003603310753,1.1513030270645639,0.9999999999999998,1.0,1.0,25.674007206621493,25.6740072066215
steady,2000.0,20.0,3,1,1999.709976798144,1.80066057269759,1.80066057269759,0.0,0.05,36.0132114539518,1.7760206676866388,0.5366027498496636,0.9811126801569169,0.6827223356407702,1.7760206676866388,1.80066057269759,1.0,1.0,1.0,36.0132114539518,36.0132114539518
steady,2000.0,20.0,3,2,2020.011600928074,0.9542177654877808,0.9542177654877809,0.0,0.05,19.084355309755615,1.7760206676866388,0.5366027498496636,0.9811126801569169,0.6827223356407702,1.0384949814915305,0.9097651831816631,0.9188467758575903,1.0,1.0,17.535598345689632,19.084355309755615
steady,2000.0,20.0,3,3,2040.3132250580045,0.6793050749695435,0.6793050749695435,0.0,0.05,13.58610149939087,1.7760206676866388,0.5366027498496636,0.9811126801569169,0.6827223356407702,0.6072405835163288,0.45964947590851024,1.0,1.0,1.0,13.58610149939087,13.58610149939087
steady,2000.0,20.0,4,1,1999.709976798144,1.99902501023102,1.9990250102310199,0.0,0.05,39.9805002046204,1.9343464090846014,0.5935335638559268,0.9525033366031624,0.6827223356407702,1.9343464090846014,1.99902501023102,1.0,1.0,1.0,39.9805002046204,39.9805002046204
