friction_model,n_total,x1,spacing_m,P_1,P_2,P_3,P_4,alpha_2,alpha_3,alpha_4
steady,4,2500.0,50.0,1.7386981460648736,0.8325531599362268,0.3776174211037809,0.2810547718167974,0.4788370895894214,0.2171840016959973,0.1616466736637969
steady,4,2500.0,60.0,1.7526804978596116,0.8471506311965455,0.385217759982457,0.2999973512657282,0.4833457280041018,0.2197877824582907,0.1711648823799247
steady,4,2500.0,70.0,1.7750275899333054,0.8641661604416507,0.3875625251596463,0.3043697316827831,0.4868466075358979,0.2183416907757521,0.1714732398577644
steady,4,2500.0,80.0,1.9633171738948072,1.0855603323908989,0.7538048785050995,0.5045359909817555,0.5529215283322643,0.3839445243631774,0.2569813974483106
steady,4,2500.0,90.0,2.097927760757326,1.1971459991319615,0.8590807383664725,0.6447813866476836,0.5706326125832888,0.4094901428142383,0.3073420347013881
steady,4,2500.0,100.0,2.1223531875351123,1.2118343153222375,0.8598844657225444,0.6535321433130916,0.570986168767534,0.4051561591033813,0.3079280805623591
steady,4,3000.0,10.0,2.7381188339228206,1.4213945938551305,0.9639954071434772,0.6337949386001847,0.5191135520655037,0.3520648538699067,0.2314709393719649
steady,4,3000.0,20.0,2.843533027747177,1.317242555402624,0.6137136877841539,0.4497489597755938,0.4632415176996292,0.2158278739144366,0.1581655480653631
steady,4,3000.0,30.0,3.121821177501196,1.442055016149863,0.5363695473830138,0.3235209844584329,0.4619274885258256,0.1718130273599914,0.1036321320356309
steady,4,3000.0,40.0,3.050455566261772,1.513640030048079,0.5957070219132494,0.3268113836160571,0.4962013040901273,0.1952846087980451,0.1071352709512019
steady,4,3000.0,50.0,3.063474470422541,1.541040419006276,0.6093870643008155,0.4362611943638836,0.5030368080050369,0.1989202358904474,0.142407321678679
steady,4,3000.0,60.0,3.0875232841278337,1.4644582190748356,0.5924020709393347,0.4367277923146014,0.4743148745155187,0.1918696691243502,0.1414492303781827
steady,4,3000.0,70.0,3.039887658454606,1.5270172685933854,1.06411342164539,0.6931700025009067,0.5023268752535671,0.3500502456680768,0.2280248747262241
steady,4,3000.0,80.0,3.090150687806821,1.581300291184144,1.157552585415549,0.8778313282320602,0.5117227122365491,0.374594219622701,0.2840739552591479
steady,4,3000.0,90.0,3.147049222406161,1.635703331845632,1.2000454683355688,0.9080057058563726,0.5197577845938524,0.3813240224498432,0.2885260578041205
steady,4,3000.0,100.0,3.1586102046321627,1.7053811517808368,1.208857668005572,0.9204506347807448,0.5399150389876732,0.3827182177252384,0.2914100110962999
steady,4,3500.0,10.0,2.4638500278493027,1.1474896880524184,0.4654428683427538,0.2808695051381336,0.465730330613533,0.1889087659889102,0.1139961856295713
steady,4,3500.0,20.0,2.452639840555197,1.1805539606768989,0.4942643462824339,0.3001790933698757,0.4813401222454496,0.2015234108610699,0.1223902052010722
steady,4,3500.0,30.0,2.5101351490257344,1.1795983816384843,0.4834423476418702,0.2904277364772653,0.4699342113496659,0.1925961428130712,0.1157020316575343
steady,4,3500.0,40.0,2.6214198461266145,1.2269809287568405,0.5045139670360113,0.4038334827964835,0.4680596778764057,0.1924582846892978,0.154051432620831
steady,4,3500.0,50.0,2.684522784842691,1.2463730464015892,0.5194256172265835,0.419822555795537,0.4642810459418859,0.1934889955709655,0.1563862889024195
steady,4,3500.0,60.0,2.921854718912248,1.3742779348354257,0.935290301871974,0.6313046781527007,0.4703443761047241,0.320101576515127,0.2160629938464988
steady,4,3500.0,70.0,2.951085304286736,1.4580903590907088,1.0419765052340229,0.8095598593185576,0.4940861441628583,0.3530824756981615,0.2743261464324985
steady,4,3500.0,80.0,2.9687745955236435,1.4631636801482948,1.045404167758467,0.8122685189854715,0.4928510511894273,0.3521332233625081,0.2736039712176938
steady,4,3500.0,90.0,2.944222665789115,1.494916213750402,1.0645148068900518,0.8140212541400219,0.5077456372851245,0.3615605637642012,0.2764808734063076
steady,4,3500.0,100.0,2.9073398318037893,1.4202963245589717,0.9625435985213252,0.6409390042876442,0.4885209183399048,0.3310736460842756,0.2204554821133479
steady,4,4000.0,10.0,3.070480697171682,1.622774297791335,1.1162390035213337,0.8270239993945507,0.528508223251859,0.3635388441130853,0.2693467508707509
