friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better
brunone,2500.0,80.0,3,3,alpha_2d,0.22965659759450419,0.97662611697918,1.2004439533327171,0.9999999867002466,0.023373869721066587,True,True
brunone,2500.0,80.0,4,4,alpha_2d,0.2987299160921536,0.9946059916034017,1.3468520120312697,0.9555533971383526,-0.03905259446504905,True,False
brunone,2500.0,80.0,5,5,alpha_2d,0.3168296714051864,0.9931998466020534,1.323266744585786,0.9779163023945594,-0.015283544207494004,True,False
brunone,2500.0,80.0,6,6,alpha_2d,0.32188703010761094,0.9771396854048519,1.265381279204127,0.9894877842162094,0.012348098811357566,True,True
brunone,2500.0,80.0,7,7,alpha_2d,0.3128495038796573,0.9482662171557833,1.1761946616298427,0.9963324508568668,0.04806623370108354,True,True
brunone,2500.0,80.0,8,8,alpha_2d,0.3159061970288526,0.9145501782631629,1.14757318713473,0.9959937259352184,0.08144354767205553,True,True
brunone,2500.0,90.0,2,2,alpha_2d,,,,,,False,False
brunone,2500.0,90.0,3,3,alpha_2d,0.22595316394235113,0.9681867527848529,1.215113304714857,0.999326475732746,0.031139722947893134,True,True
brunone,2500.0,90.0,4,4,alpha_2d,0.29125071316842494,0.9947060886833674,1.3563158878629136,0.9784565498833967,-0.01624953879997071,True,False
brunone,2500.0,90.0,5,5,alpha_2d,0.30650998756274883,0.9844232088012386,1.3157847115095245,0.9899091642966934,0.005485955495454831,True,True
brunone,2500.0,90.0,6,6,alpha_2d,0.30348544310709685,0.9670323665431124,1.2220442520412422,0.9928045115926296,0.025772145049517192,True,True
brunone,2500.0,90.0,7,7,alpha_2d,0.29776344887452827,0.9463865396925192,1.1411524114055287,0.9945100609368398,0.04812352124432062,True,True
brunone,2500.0,90.0,8,8,alpha_2d,0.3003759033609769,0.9131702348199522,1.1101239483015606,0.9967321658746798,0.08356193105472765,True,True
brunone,2500.0,100.0,2,2,alpha_2d,,,,,,False,False
brunone,2500.0,100.0,3,3,alpha_2d,0.21948947413377293,0.9695967412844857,1.2053187617860057,0.9996141312890648,0.030017390004579148,True,True
brunone,2500.0,100.0,4,4,alpha_2d,0.2911515419398207,0.991139782783583,1.3908920086915817,0.9895677146727075,-0.001572068110875402,True,False
brunone,2500.0,100.0,5,5,alpha_2d,0.2931081625048455,0.979691276534668,1.287107937888886,0.9917467151568506,0.012055438622182613,True,True
brunone,2500.0,100.0,6,6,alpha_2d,0.2913393229952859,0.966857850766025,1.1993437677962555,0.9918658425677813,0.02500799180175628,True,True
brunone,2500.0,100.0,7,7,alpha_2d,0.28315345549582427,0.9314413656979417,1.1079931645520469,0.9953235244804858,0.06388215878254411,True,True
brunone,2500.0,100.0,8,8,alpha_2d,0.2869228926757624,0.9163064913038332,1.0746930564583892,0.9945526202777347,0.07824612897390149,True,True
brunone,3000.0,10.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,10.0,3,3,alpha_2d,-0.12792782605891934,0.029000077160655446,-0.33185395984426036,-0.1257975928276529,-0.15479766998830835,True,False
brunone,3000.0,10.0,4,4,alpha_2d,-0.05072313113238263,-0.06544863555428848,-0.10689467841488091,-0.1836263676800256,-0.11817773212573712,True,False
brunone,3000.0,10.0,5,5,alpha_2d,0.06296546632926742,0.12638846276697258,0.18603308546896288,0.24242731188514366,0.11603884911817108,True,True
brunone,3000.0,10.0,6,6,alpha_2d,0.1158022294418957,0.3819447975832815,0.3028782045774444,0.5691187781679131,0.18717398058463164,True,True
brunone,3000.0,10.0,7,7,alpha_2d,0.14906119501268128,0.39212407914577063,0.37169595742872613,0.5824780613059634,0.19035398216019273,True,True
brunone,3000.0,10.0,8,8,alpha_2d,0.16868163988418078,0.36261445618702326,0.4085761993624152,0.5563289772510787,0.1937145210640554,True,True
brunone,3000.0,20.0,2,2,alpha_2d,,,,,,False,False
