friction_model,x1,n_total,spacing_m,P_1,P_end,R_end,sum_P,mean_P,b_topological
steady,3000.0,4,30.0,3.121821177501196,0.3235209844584329,0.10363213203563097,5.423766725492507,1.3559416813731267,0.7925548404415258
steady,3000.0,4,40.0,3.050455566261772,0.3268113836160571,0.10713527095120194,5.486614001839158,1.3716535004597894,0.7620255120990735
steady,3000.0,4,50.0,3.063474470422541,0.4362611943638836,0.142407321678679,5.650163148093515,1.4125407870233788,0.6974275891644093
steady,3000.0,4,60.0,3.0875232841278337,0.4367277923146014,0.14144923037818277,5.581111366456606,1.3952778416141516,0.7082289314553333
steady,3000.0,4,70.0,3.039887658454606,0.6931700025009067,0.2280248747262242,6.324188351194287,1.5810470877985718,0.5159116461198867
steady,3000.0,4,80.0,3.090150687806821,0.8778313282320602,0.284073955259148,6.7068348926385735,1.6767087231596434,0.457811301766277
steady,3000.0,4,90.0,3.147049222406161,0.9080057058563726,0.28852605780412055,6.890803728443735,1.7227009321109337,0.4508224018863481
steady,3000.0,4,100.0,3.1586102046321627,0.9204506347807448,0.2914100110963,6.993299659199316,1.748324914799829,0.44545201057175554
steady,3000.0,5,10.0,3.071783368171281,0.4529311214982664,0.1474489139407995,6.907755218634252,1.3815510437268503,0.491061536933978
steady,3000.0,5,20.0,2.957823076790051,0.3556503947246923,0.12024059096552132,5.783594134939529,1.1567188269879058,0.5923521017499073
steady,3000.0,5,30.0,2.772408587375891,0.2367294960220466,0.08538766511544864,5.289654358896026,1.0579308717792053,0.6622079378446614
steady,3000.0,5,40.0,2.7946973822687053,0.2817253904607865,0.10080711859832381,5.3002520383007985,1.0600504076601598,0.640994630084928
steady,3000.0,5,50.0,2.942837284999333,0.3617001862750884,0.12290865965264211,5.860462622010081,1.1720925244020162,0.5755424201048267
steady,3000.0,5,60.0,2.938614409232612,0.3924021384225646,0.13353304781658518,5.86296851484386,1.172593702968772,0.5664177227810531
steady,3000.0,5,70.0,3.221406205076184,0.4563956750974231,0.1416759160574814,7.332233357902441,1.466446671580488,0.49279571605898637
steady,3000.0,5,80.0,3.166656403233411,0.7469694100258157,0.2358858413761278,8.056482028975735,1.6112964057951469,0.38572334008662235
steady,3000.0,5,90.0,2.977887251240826,0.7649634380908883,0.25688126297331887,7.794820528779258,1.5589641057558516,0.36401387491004844
steady,3000.0,5,100.0,2.7670958709158664,0.7722900448681402,0.2790976825145289,7.309270850412716,1.4618541700825431,0.35006929171091605
