friction_model,x1,n_total,spacing_m,P_1,P_end,R_end,SNR_end_dB,sigma_noise_ref,n_det_th_15,pass_rate_th_15,n_det_th_25,pass_rate_th_25,n_det_th_35,pass_rate_th_35,n_det_th_50,pass_rate_th_50
steady,3000.0,3,90.0,2.7397436995242628,0.947537812486096,0.34584907071804905,25.552530912496398,0.05,3,1.0,3,1.0,3,1.0,3,1.0
steady,3000.0,3,100.0,2.7916152999864634,0.9347775904937352,0.3348518653334032,25.434765762574962,0.05,3,1.0,3,1.0,3,1.0,3,1.0
steady,3000.0,4,10.0,2.7381188339228206,0.6337949386001847,0.23147093937196497,22.0595752463139,0.05,4,1.0,4,1.0,4,1.0,4,1.0
steady,3000.0,4,20.0,2.843533027747177,0.4497489597755938,0.15816554806536318,19.080003264059776,0.05,4,1.0,4,1.0,4,1.0,3,0.75
steady,3000.0,4,30.0,3.121821177501196,0.3235209844584329,0.10363213203563097,16.21864902227265,0.05,4,1.0,4,1.0,3,0.75,3,0.75
steady,3000.0,4,40.0,3.050455566261772,0.3268113836160571,0.10713527095120194,16.30654342590541,0.05,4,1.0,4,1.0,3,0.75,3,0.75
steady,3000.0,4,50.0,3.063474470422541,0.4362611943638836,0.142407321678679,18.815531593453603,0.05,4,1.0,4,1.0,4,1.0,3,0.75
steady,3000.0,4,60.0,3.0875232841278337,0.4367277923146014,0.14144923037818277,18.824816518585656,0.05,4,1.0,4,1.0,4,1.0,3,0.75
steady,3000.0,4,70.0,3.039887658454606,0.6931700025009067,0.2280248747262242,22.8373951132685,0.05,4,1.0,4,1.0,4,1.0,4,1.0
steady,3000.0,4,80.0,3.090150687806821,0.8778313282320602,0.284073955259148,24.88882143287606,0.05,4,1.0,4,1.0,4,1.0,4,1.0
steady,3000.0,4,90.0,3.147049222406161,0.9080057058563726,0.28852605780412055,25.182371465510826,0.05,4,1.0,4,1.0,4,1.0,4,1.0
steady,3000.0,4,100.0,3.1586102046321627,0.9204506347807448,0.2914100110963,25.3006099446112,0.05,4,1.0,4,1.0,4,1.0,4,1.0
steady,3000.0,5,10.0,3.071783368171281,0.4529311214982664,0.1474489139407995,19.141243166444507,0.05,5,1.0,5,1.0,5,1.0,4,0.8
steady,3000.0,5,20.0,2.957823076790051,0.3556503947246923,0.12024059096552132,17.041065814145995,0.05,5,1.0,5,1.0,5,1.0,3,0.6
steady,3000.0,5,30.0,2.772408587375891,0.2367294960220466,0.08538766511544864,13.505647383777806,0.05,5,1.0,4,0.8,3,0.6,3,0.6
steady,3000.0,5,40.0,2.7946973822687053,0.2817253904607865,0.10080711859832381,15.017119702842237,0.05,5,1.0,5,1.0,4,0.8,3,0.6
steady,3000.0,5,50.0,2.942837284999333,0.3617001862750884,0.12290865965264211,17.187574561734145,0.05,5,1.0,5,1.0,5,1.0,4,0.8
steady,3000.0,5,60.0,2.938614409232612,0.3924021384225646,0.13353304781658518,17.895227221922514,0.05,5,1.0,5,1.0,5,1.0,4,0.8
steady,3000.0,5,70.0,3.221406205076184,0.4563956750974231,0.1416759160574814,19.20743031925385,0.05,5,1.0,5,1.0,5,1.0,4,0.8
steady,3000.0,5,80.0,3.166656403233411,0.7469694100258157,0.2358858413761278,23.486656251354354,0.05,5,1.0,5,1.0,5,1.0,5,1.0
steady,3000.0,5,90.0,2.977887251240826,0.7649634380908883,0.25688126297331887,23.693413478709267,0.05,5,1.0,5,1.0,5,1.0,5,1.0
steady,3000.0,5,100.0,2.7670958709158664,0.7722900448681402,0.2790976825145289,23.77620864612892,0.05,5,1.0,5,1.0,5,1.0,5,1.0
steady,3000.0,6,10.0,3.069125708677348,0.3262485412589139,0.10630015588364805,16.291571483448024,0.05,6,1.0,6,1.0,5,0.8333333333333334,5,0.8333333333333334
steady,3000.0,6,20.0,2.971184469706205,0.3092752197471444,0.10409155772738876,15.827502396226736,0.05,6,1.0,6,1.0,5,0.8333333333333334,4,0.6666666666666666
steady,3000.0,6,30.0,2.9471472168080544,0.1995209703249095,0.06769969589133835,12.020370877922575,0.05,6,1.0,5,0.8333333333333334,4,0.6666666666666666,3,0.5
steady,3000.0,6,40.0,3.1421693109254183,0.2161271441610552,0.06878278118546144,12.71478621059721,0.05,6,1.0,5,0.8333333333333334,4,0.6666666666666666,3,0.5
steady,3000.0,6,50.0,3.283218151890248,0.2536695727177695,0.07726247875783833,14.105967460846752,0.05,6,1.0,6,1.0,4,0.6666666666666666,3,0.5
steady,3000.0,6,60.0,3.2258069038751613,0.2549549769989827,0.07903603178873023,14.149869799035466,0.05,6,1.0,6,1.0,5,0.8333333333333334,4,0.6666666666666666
