friction_model,x1,n_total,spacing_m,frac_idx,x_true,x_extracted,loc_error_m,P_1d,P_2d,alpha_2d,mu_coda,sigma_coda,PSR_dB,tau_s_ms
steady,3000.0,2,100,1,3000.0,3000.290023201856,0.29002320185600183,0.5911478579203838,2.7438108528474188,1.0,-0.008598650988400808,0.03784582215555489,37.23390209102175,137.9310344827586
steady,3000.0,2,100,2,3100.0,3100.348027842227,0.34802784222711125,0.1291760105470762,1.2961653797972132,0.4723960394179882,-0.008598650988400808,0.03784582215555489,30.750280630648753,137.9310344827586
steady,3000.0,4,10,1,3000.0,3000.290023201856,0.29002320185600183,0.5830666386931194,2.7381188339228206,1.0,-0.01471206445855017,0.016570885592852178,44.408676306969014,13.793103448275861
steady,3000.0,4,10,2,3010.0,3010.440835266821,0.4408352668210682,0.1236009357097797,1.4213945938551305,0.5191135520655037,-0.01471206445855017,0.016570885592852178,38.75681953689714,13.793103448275861
steady,3000.0,4,10,3,3020.0,3020.591647331786,0.5916473317861346,0.0523529189583626,0.9639954071434772,0.3520648538699067,-0.01471206445855017,0.016570885592852178,35.42614369785843,13.793103448275861
steady,3000.0,4,10,4,3030.0,3029.2923433874707,0.7076566125292629,0.0187950699820964,0.6337949386001847,0.2314709393719649,-0.01471206445855017,0.016570885592852178,31.85137902739795,13.793103448275861
steady,3000.0,4,20,1,3000.0,3000.290023201856,0.29002320185600183,0.596449877292159,2.843533027747177,1.0,-0.013593996693117142,0.017805385995709647,44.107563120364034,27.586206896551722
steady,3000.0,4,20,2,3020.0,3020.591647331786,0.5916473317861346,0.1320845366630655,1.317242555402624,0.4632415176996292,-0.013593996693117142,0.017805385995709647,37.471466549432975,27.586206896551722
steady,3000.0,4,20,3,3040.0,3039.443155452436,0.5568445475641965,0.0244596230099119,0.6137136877841539,0.2158278739144366,-0.013593996693117142,0.017805385995709647,30.938584292857204,27.586206896551722
steady,3000.0,4,20,4,3060.0,3059.7447795823664,0.25522041763360903,0.0156642773489407,0.4497489597755938,0.1581655480653631,-0.013593996693117142,0.017805385995709647,28.307023449047826,27.586206896551722
steady,3000.0,4,30,1,3000.0,3000.290023201856,0.29002320185600183,0.5928025400666196,3.121821177501196,1.0,-0.01161126839434521,0.01792633925176007,44.8505745007225,41.37931034482759
steady,3000.0,4,30,2,3030.0,3029.2923433874707,0.7076566125292629,0.1353297990989184,1.442055016149863,0.4619274885258256,-0.01161126839434521,0.01792633925176007,38.179462134115376,41.37931034482759
steady,3000.0,4,30,3,3060.0,3059.7447795823664,0.25522041763360903,0.0265280436097414,0.5363695473830138,0.1718130273599914,-0.01161126839434521,0.01792633925176007,29.70547486958082,41.37931034482759
steady,3000.0,4,30,4,3090.0,3090.197215777262,0.19721577726204487,0.0120957891588848,0.3235209844584329,0.1036321320356309,-0.01161126839434521,0.01792633925176007,25.434492298100416,41.37931034482759
steady,3000.0,4,40,1,3000.0,3000.290023201856,0.29002320185600183,0.5866324048634366,3.050455566261772,1.0,-0.00944647414227416,0.02043869022892099,43.50508923445587,55.172413793103445
steady,3000.0,4,40,2,3040.0,3039.443155452436,0.5568445475641965,0.1371236029659285,1.513640030048079,0.4962013040901273,-0.00944647414227416,0.02043869022892099,37.445430168777925,55.172413793103445
steady,3000.0,4,40,3,3080.0,3080.046403712297,0.04640371229697848,0.0276159775626673,0.5957070219132494,0.1952846087980451,-0.00944647414227416,0.02043869022892099,29.42824970235352,55.172413793103445
steady,3000.0,4,40,4,3120.0,3120.6496519721577,0.6496519721576988,0.0126875505740724,0.3268113836160571,0.1071352709512019,-0.00944647414227416,0.02043869022892099,24.32438760677584,55.172413793103445
steady,3000.0,4,50,1,3000.0,3000.290023201856,0.29002320185600183,0.5834153268717933,3.063474470422541,1.0,-0.008740567709064638,0.020646676311361387,43.452029229434245,68.9655172413793
steady,3000.0,4,50,2,3050.0,3049.5939675174013,0.4060324825986754,0.1371237884146453,1.541040419006276,0.5030368080050369,-0.008740567709064638,0.020646676311361387,37.50840358662762,68.9655172413793
