sample_id,n_frac,fracture_positions_m,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5,fracture_alpha_ss,fracture_Q_ss_m3_s,fracture_types,pump_closure_tc_s,ramp_type,wavespeed_m_s,H_ext_m,initial_velocity_m_s,H0_realized_m,perf_num_holes,perf_diameter_m,perf_cd,has_fault,fault_cluster_idx,steady_mass_residual,pre_shut_drift_m
206,5,4772.437|4819.314|4849.832|4884.775|4909.0747,0.0128810955|0.01377196|0.012219777|0.0118141|0.014934824,0.0006418645|0.00078097015|0.00065108266|0.00061497523|0.0005690387,465430.12|465430.12|465430.12|465430.12|465430.12,0.1991089|0.23216118|0.20006213|0.19049862|0.17816918,0.003516497|0.0041002394|0.0035333324|0.0033644296|0.0031466773,Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇,0.0280996635556221,linear,1456.059814453125,75.35842895507812,1.152224063873291,171.50527954101562,6,0.010654903462425246,0.6185617907474824,0,-1,7.195774466735305e-13,2.4073187887552194e-11
207,3,4810.31|4836.978|4849.0415,0.016288802|0.015440471|0.018597998,7.09151e-05|5.823718e-05|5.6581892e-05,697980.25|697980.25|697980.25,0.38166928|0.31361234|0.30471838,0.008501218|0.0069853324|0.0067872303,Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.09006047993898392,cosine,1492.078857421875,106.13256072998047,1.4531526565551758,14623.697265625,4,0.011031859532755562,0.7067757087644626,0,-1,7.83491517107257e-14,3.8198777474462986e-11
208,3,4620.433|4645.0073|4694.8003,0.027521545|0.012|0.021427037,2.6262825e-05|0.0005|2.7772996e-05,505268.62|505268.62|505268.62,0.050006982|0.89711833|0.052874677,0.0009830898|0.017636495|0.0010394659,Type III: 受抑/欠发育弱进液簇|Type V: 沟通天然断层/强微裂缝簇|Type III: 受抑/欠发育弱进液簇,0.05784101039171219,linear,1472.9381103515625,131.70413208007812,1.2825663089752197,1605.597900390625,8,0.008327089355412803,0.7289924196017025,1,1,9.441728540497685e-14,5.206857167650014e-11
209,4,4660.096|4678.649|4725.3164|4774.38,0.01584923|0.015991773|0.013048367|0.018184118,8.7446155e-05|6.2527666e-05|6.776009e-05|7.97488e-05,937726.25|937726.25|937726.25|937726.25,0.29371047|0.2103783|0.22790557|0.26800564,0.004153647|0.0029751654|0.0032230355|0.0037901301,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.02874169684946537,linear,1450.5472412109375,173.9185028076172,0.9226297736167908,2484.376220703125,6,0.008224245954164155,0.731440743755138,0,-1,6.525769508103352e-14,1.177795638795942e-10
210,1,4814.902,0.010868838,0.00029064805,161084.03,1.0,0.015684715,Type I: 优势发育主进液簇,0.04300081357359886,cosine,1471.24951171875,179.2245635986328,1.0232787132263184,3179.249267578125,12,0.009322848580495808,0.6866823234148641,0,-1,3.893106404742261e-14,1.7553247744217515e-10
211,6,4626.967|4656.3003|4702.072|4723.144|4759.4814|4773.0,0.0058543775|0.006182958|0.00753268|0.0060819173|0.0068836957|0.0069159074,0.00046111367|0.00040987245|0.0015|0.00047167603|0.0004213762|0.00037824406,132249.31|132249.31|132249.31|132249.31|132249.31|132249.31,0.13373403|0.11859325|0.3828592|0.13506253|0.1209467|0.108804286,0.0019517398|0.0017307723|0.0055875196|0.0019711282|0.001765119|0.0015879103,Type V: 沟通天然断层/强微裂缝簇|Type III: 受抑/欠发育弱进液簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type III: 受抑/欠发育弱进液簇|Type III: 受抑/欠发育弱进液簇,0.02557309716939926,cosine,1462.34765625,179.94830322265625,0.9521322846412659,238.58352661132812,8,0.011612347384998611,0.7327129912419781,1,2,3.197441294480914e-14,2.1231016944511794e-11
212,1,4845.925,0.029990476,0.00013714473,281414.06,1.0,0.019949313,Type I: 优势发育主进液簇,0.05040489882230759,cosine,1464.7362060546875,119.2471923828125,1.3015031814575195,21468.31640625,6,0.011845112654671065,0.6436623210005061,0,-1,1.0000003890274847e-13,2.8339854907244444e-09
213,5,4544.2104|4556.1504|4573.835|4584.006|4614.1743,0.022740234|0.02332013|0.022960987|0.03286285|0.029610513,2.4023464e-05|2.5750987e-05|2.2734948e-05|2.3112425e-05|2.409282e-05,253325.2|253325.2|253325.2|253325.2|253325.2,0.20067331|0.2151009|0.18991077|0.19306341|0.20125161,0.0035982502|0.00385695|0.0034052685|0.003461798|0.0036086198,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.05514371395111084,linear,1422.461669921875,144.8318328857422,1.1698200702667236,22641.59375,8,0.010318350500342811,0.6705186691433209,0,-1,7.875042171102617e-14,4.2928149923682213e-10
214,4,4579.608|4594.5044|4631.5015|4676.716,0.015966052|0.013089789|0.012584858|0.012584243,0.0008713089|0.00074428396|0.0008426303|0.00069205114,55306.438|55306.438|55306.438|55306.438,0.2762578|0.23689252|0.26662078|0.22022885,0.00470082|0.004030978|0.004536836|0.0037474276,Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇,0.04957916960120201,linear,1441.1170654296875,135.40122985839844,1.1101363897323608,219.56417846679688,16,0.010328919227545849,0.716049471518425,0,-1,8.059870045679096e-13,2.3845814212108962e-11
215,6,4787.99|4835.1855|4848.104|4861.0312|4889.0786|4908.883,0.013021782|0.0108368965|0.011287882|0.013618064|0.011182898|0.012987487,0.00020306448|0.00019603093|0.00017974581|0.00017943756|0.00021207584|0.0001827608,201228.02|201228.02|201228.02|201228.02|201228.02|201228.02,0.17618982|0.16998817|0.15593784|0.15565807|0.18372051|0.1585056,0.0039804056|0.0038403003|0.003522881|0.003516561|0.0041505354|0.003580891,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.030134519562125206,linear,1487.2135009765625,104.69776153564453,1.4738856554031372,590.556884765625,12,0.008441745907052121,0.7493256592382698,0,-1,1.2623668115604308e-13,4.581579560181126e-11
